agl_thermal_conductivity_300K,agl_debye_temperature,agl_heat_capacity_Cp_300K,agl_heat_capacity_Cv_300K,agl_thermal_expansion_300K
0.454269,141.878,30.0819,26.7447,0.000155864
0.457287,159.89,29.7581,26.6733,0.000151194
0.455141,133.96,55.3204,53.4889,5.59972e-05
0.455344,144.876,19.9739,17.8233,0.000180367
0.455634,187.997,88.1669,82.5063,0.000108269
0.455975,180.922,36.9324,35.3879,5.16753e-05
0.456702,105.965,12.8081,11.9327,9.54833e-05
0.457739,204.973,121.899,117.37,5.35411e-05
0.457513,167.138,29.6533,26.6434,0.000148667
0.45969,144.991,31.3235,29.6785,7.55429e-05
0.460215,274.693,48.7697,40.5576,0.000157588
0.463725,134.0,12.8285,11.8946,9.19661e-05
0.46646,127.014,32.0502,29.7619,0.000119162
0.466993,139.013,25.5279,23.771,8.95432e-05
0.467494,208.059,87.9958,82.1782,0.000112039
0.466778,141.061,13.332,11.8879,0.000151986
0.467771,95.0247,12.4365,11.9432,6.47241e-05
0.467809,135.06,25.5516,23.7831,8.95186e-05
0.469632,177.887,38.4585,35.4417,0.000117589
0.451633,138.023,25.5309,23.7713,8.96358e-05
0.470614,116.986,7.12012,5.96599,0.000251552
0.471521,141.053,51.0893,47.5301,0.000108646
0.474556,244.13,121.643,116.309,6.19136e-05
0.475333,205.993,62.4257,58.7111,8.80352e-05
0.479706,142.024,13.3285,11.8869,0.000151942
0.477752,150.162,6.50828,5.93435,0.000130693
0.477792,150.081,51.0457,47.4656,0.000108124
0.479287,141.019,38.0468,35.6431,0.000103554
0.481454,165.906,49.5686,47.3178,6.14137e-05
0.479578,130.883,13.3485,11.903,0.000150196
0.483531,107.018,12.7447,11.931,9.11713e-05
0.484032,279.819,159.237,149.846,8.13169e-05
0.486452,94.1267,6.96512,5.97678,0.000213201
0.485844,129.086,17.0051,14.8853,0.000168852
0.488199,171.929,38.5287,35.4758,0.00012407
0.489991,157.072,13.2613,11.86,0.000151079
0.49187,138.055,25.5901,23.774,9.10178e-05
0.492775,215.957,62.911,58.6005,0.000107384
0.494732,100.021,6.11889,5.96765,3.53475e-05
0.497239,231.07,122.629,116.723,7.45507e-05
0.500055,204.885,37.816,35.2469,0.000109939
0.501789,152.056,50.4953,47.4421,9.08812e-05
0.503163,98.9493,7.48461,5.97609,0.000316769
0.503877,145.067,49.921,47.4832,7.22611e-05
0.504988,165.064,44.683,41.4304,0.000118786
0.505176,87.896,7.64631,5.98157,0.000377051
0.509612,164.066,50.1757,47.3471,0.000100301
0.511411,250.064,92.7236,84.3572,0.000201504
0.514338,143.027,25.6307,23.7568,0.000101668
0.514894,143.966,31.1377,29.6788,7.66549e-05
0.514956,130.949,12.8764,11.8985,0.000119683
0.517661,144.84,26.4936,23.7621,0.000166348
0.518218,189.052,52.0209,50.0563,5.44025e-05
0.519117,162.149,32.1461,29.6125,0.000129323
0.520696,99.1044,7.02141,5.97417,0.00022769
0.521838,160.09,13.2659,11.8553,0.00015205
0.522588,160.048,36.6624,35.5119,4.99582e-05
0.524577,115.81,7.3977,5.96679,0.000308969
0.525172,140.08,16.8815,14.8653,0.000159812
0.525858,222.921,120.166,116.851,4.45662e-05
0.530055,130.049,15.8462,14.8725,7.92568e-05
0.53003,164.944,50.807,47.3523,0.000114582
0.533517,265.233,89.0002,81.1181,0.000129068
0.534076,191.973,55.7752,52.9825,7.31209e-05
0.538006,157.062,18.6089,17.771,6.61386e-05
0.535823,189.016,122.836,117.79,5.94011e-05
0.535844,140.073,27.8968,26.7238,6.31883e-05
0.537361,286.152,122.315,112.28,0.000121516
0.537481,166.082,31.4834,29.5851,9.00502e-05
0.538348,168.031,51.4103,47.3328,0.000122671
0.539205,140.051,12.8029,11.8835,8.73297e-05
0.540916,284.906,63.47,57.6281,0.000132645
0.541507,122.915,16.2721,14.8898,0.000136352
0.539245,143.875,29.3009,26.7294,0.000124632
0.543339,176.055,50.8439,47.2622,0.000112319
0.544349,103.844,7.00341,5.97114,0.000220891
0.545182,197.895,38.6945,35.3172,0.000130677
0.545487,108.158,7.26873,5.97101,0.000287531
0.546477,142.962,15.1532,14.8356,3.16027e-05
0.549244,240.157,73.8591,69.8885,8.36094e-05
0.549663,176.921,29.1942,26.5883,0.000129377
0.5524,118.117,7.20571,5.96454,0.000278018
0.552611,211.98,90.9687,87.8855,4.79034e-05
0.554012,168.041,37.7992,35.4914,9.012e-05
0.555229,121.92,13.5085,11.9177,0.000216497
0.560648,189.977,19.6311,17.6876,0.000170355
0.559252,139.049,18.8414,17.8238,7.63385e-05
0.557686,121.846,7.09597,5.96217,0.00025428
0.56183,133.14,13.2847,11.9001,0.000148525
0.561928,211.782,45.1984,41.0872,0.000146797
0.564805,131.066,7.26239,5.9553,0.000271144
0.565269,224.93,121.904,116.85,6.03765e-05
0.569373,173.887,37.7804,35.4504,8.72769e-05
0.570487,140.972,50.4091,47.5207,9.07918e-05
0.570763,224.054,87.091,81.8741,9.65381e-05
0.57176,153.008,12.652,11.8583,8.41285e-05
0.57274,115.999,12.6906,11.9187,8.84655e-05
0.573898,130.006,12.5685,11.8961,6.85401e-05
0.574891,164.027,29.134,26.6464,0.000132246
0.576366,200.078,111.19,105.784,8.90822e-05
0.578072,119.028,16.3361,14.8982,0.00014254
0.580592,167.03,18.6466,17.7433,7.24102e-05
0.583393,130.066,43.6303,41.6348,7.91448e-05
0.584266,128.07,28.5713,26.7775,0.000100544
0.586045,161.884,16.4651,14.8123,0.000139238
0.587598,110.051,6.94379,5.96778,0.000215781
0.58887,116.114,7.37607,5.96687,0.000295939
0.590593,248.935,86.8756,81.3853,0.000104877
0.591242,162.042,16.4629,14.8126,0.000139338
0.59304,122.976,12.392,11.906,5.22173e-05
0.591947,129.982,24.6525,23.7862,5.47956e-05
0.593646,113.978,6.89692,5.96542,0.000205738
0.593666,184.139,39.1673,35.4178,0.000165189
0.597821,124.94,9.43632,8.9283,7.29742e-05
0.598775,219.921,121.62,116.994,5.4547e-05
0.600247,136.996,6.58007,5.94585,0.00012241
0.603908,115.998,9.2236,8.93625,4.51731e-05
0.609748,176.928,13.5446,11.8266,0.00020053
